Vimentin,SMA,Collagen_1,Lag3,CD4,CD14,Foxp3,PD_1,CD31,PD_L1,E_cadherin,Ki67,CD209,CD206,gdTCR,iNOS,CD68,CD36,CD8,CD3,IDO,CD11c,CD163,CD20,CD16,IFNg,HLA_DR_DQ_DP,CD11b,CD45,H3K9Ac,Keratin_pan,CD103,MastChyTry,MPO,NaKATPase,HLA_Class_1
0.39455,0.64217,-1.0995,1.5858,1.8827,0.79637,1.2497,0.66116,0.41629,0.35578,4.2814,0.77957,-0.0035073,0.9096,-0.28531,0.67489,0.28159,0.42229,0.52523,1.3566,0.77762,1.4521,0.63961,1.8976,-0.51957,10.832,2.8279,0.66753,0.58392,0.70494,1.7455,-0.42772,-0.57631,-0.49646,0.9849,0.54043
1.4801,-0.61797,-2.3866,3.164,5.399,1.7146,1.0484,1.0681,-2.2976,4.4997,1.3438,0.83207,-1.8288,2.3756,0.59221,-0.037021,1.9615,-0.6266,3.4371,3.9679,3.6727,6.8828,2.2314,6.1784,0.33885,2.8461,11.272,4.76,3.7852,0.62715,2.6762,2.9028,-0.92828,-0.90133,4.4181,0.12896
0.93323,-2.6074,-4.554,1.6021,4.7772,8.1196,1.3822,0.9331,-6.7228,19.518,-1.7024,2.456,3.5103,18.402,2.0705,1.2426,15.424,-4.6889,-2.5038,0.084865,11.74,22.465,-0.97727,-5.6326,3.9806,0.70311,4.7946,31.417,2.3911,-1.9837,-2.1786,4.3198,-2.0066,3.1035,5.7625,-1.7392
3.2078,-0.9521,-2.0723,1.645,9.1483,2.6844,2.4369,3.0231,-2.4772,3.2597,-1.4483,2.6775,-2.3244,0.74826,0.22824,-1.847,-0.62149,-3.5196,5.5264,9.0828,4.0859,5.0716,2.6687,8.9856,-0.10337,0.57184,3.8006,2.3722,10.116,3.764,-0.19038,1.4196,-0.30256,-0.098286,4.9139,2.3857
0.78454,-0.90237,-1.4369,0.85877,3.8219,-0.55496,1.1724,1.4999,-0.54236,-2.0807,-0.083911,1.0693,-2.5027,-2.4058,-0.44059,-1.4763,-3.3341,-1.9033,3.6814,4.8379,-0.70814,-0.98119,1.0712,6.0492,-0.95438,0.6667,0.64393,-2.0125,3.7703,3.1676,0.57433,0.2653,0.037312,0.52661,2.275,1.053
0.37983,1.8655,-0.10264,0.94997,2.0813,-2.1322,0.642,-1.2861,1.1335,-2.2245,15.007,-0.15233,-2.1348,-3.3177,1.4524,1.1825,-1.4932,1.7179,1.4269,1.9113,-0.15134,-1.999,1.749,0.86061,-0.29787,1.7597,2.7103,-2.1652,-0.2343,0.52648,17.916,7.4077,0.26756,0.29043,3.3386,-0.21695
0.71162,9.7184,3.9505,2.6735,5.8284,3.5928,1.7543,-0.27716,-0.19281,4.5302,2.3188,1.4158,1.9784,1.276,6.8271,3.1195,2.139,1.4894,6.6783,6.2933,4.6609,3.4801,3.7473,2.9398,3.4227,-0.4525,2.861,4.22,1.3728,0.27886,7.6032,20.431,-0.47734,1.0566,2.9491,0.048737
-0.43474,0.99406,-0.64956,-0.47549,-0.53451,-0.33562,-0.58258,-0.7067,2.5074,-2.637,0.2538,-1.3115,0.91927,-1.0614,-0.14218,0.87218,-1.7525,1.5172,0.34481,-0.24282,-2.3006,-2.7311,0.36337,-0.95467,0.10801,-0.5985,-0.91417,-1.9968,-0.31182,0.03891,0.31463,-0.54462,10.616,1.3496,-0.076418,-0.38451
0.57618,3.9844,2.1428,-0.54358,0.1188,-0.44063,-0.012355,0.06523,4.3868,-2.1738,0.11956,0.60246,2.1002,-1.6436,0.69482,0.59101,-1.951,2.9898,1.1823,1.2049,-1.9454,-2.7464,0.64819,0.2839,2.1319,-0.44665,-0.89455,3.1327,-0.076805,0.51724,0.22267,1.0427,1.3527,14.655,0.91057,0.34695
4.1721,-0.5246,-0.73332,0.60269,8.3798,5.2422,1.014,0.631,-2.0193,6.6561,2.3121,1.424,-1.4266,3.9822,0.70991,0.68645,2.87,-0.96729,5.4942,7.7011,6.5075,8.6675,1.5456,2.8465,1.5404,0.99172,4.3533,5.771,4.8184,2.2283,3.3641,2.8527,-0.10321,0.89792,10.248,1.1592
0.5223,-1.8121,-1.948,-0.19363,2.0515,-1.3142,0.17372,0.46396,-1.7417,-1.6301,-0.75309,0.48988,-2.5197,-3.3176,-0.61784,-1.5654,-3.1418,-2.0284,2.9754,3.581,-0.67554,-1.3045,0.035632,5.0431,-1.3833,0.55431,0.10536,-1.7364,2.3758,1.0533,-0.1991,0.043812,-0.34426,0.36047,1.1732,0.11902
