Patient,ROI,Patient-ROI,Image,RNA,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Num Detections,Num Subcellular cluster: DAB object,Num Subcellular spot: DAB object,Area µm^2,Perimeter µm
72215,2,72215_2,72215_2_IFNG.jpg,IFNG,Immune cells,Immune cells,Image,Rectangle,428.04,404.52,7810,697,3414,688082.9,3319.7
72215,2,72215_2,72215_2_IFNG.jpg,IFNG,Mac,Mac,Image,Ellipse,512.88,394.92,77,0,13,12265.4,405.91
72215,2,72215_2,72215_2_IFNG.jpg,IFNG,Lymph,Lymph,Image,Ellipse,618,89.28,75,0,6,5718.2,270.86
72215,2,72215_2,72215_2_TGFB.jpg,TGFB,Immune cells,Immune cells,Image,Rectangle,428.04,411.84,25042,5603,15536,705136,3359.5
72215,2,72215_2,72215_2_TGFB.jpg,TGFB,Mac,Mac,Image,Ellipse,477.12,426.12,742,215,463,14421.3,431.23
72215,2,72215_2,72215_2_TGFB.jpg,TGFB,Lymph,Lymph,Image,Ellipse,663.12,89.52,386,86,233,5918.3,276.44
72215,2,72215_2,72215_2_UBC.jpg,UBC,Lymph,Lymph,Image,Ellipse,604.32,94.32,674,281,334,5182.6,255.8
72215,2,72215_2,72215_2_UBC.jpg,UBC,Immune cells,Immune cells,Image,Rectangle,428.04,403.2,53381,26317,24301,690342.9,3325
72215,2,72215_2,72215_2_UBC.jpg,UBC,Mac,Mac,Image,Ellipse,275.76,486.6,895,452,402,8288.8,326.64
72215,3,72215_3,72215_3_DapB.jpg,DapB,Immune cells,Immune cells,Image,Polygon,396.01,440.17,4674,219,1378,485953.9,2558.6
72215,3,72215_3,72215_3_DapB.jpg,DapB,Lymph,Lymph,Image,Polygon,124.56,743.41,72,0,8,5960,350.75
72215,3,72215_3,72215_3_DapB.jpg,DapB,Mac,Mac,Image,Rectangle,255.84,201.24,58,1,14,4816.3,296.16
72215,3,72215_3,72215_3_DapB.jpg,DapB,Necrosis,Necrosis,Image,Polygon,444.83,464.94,1696,59,434,241872.1,2144.2
72215,3,72215_3,72215_3_IFNG.jpg,IFNG,Necrosis,Necrosis,Image,Polygon,424.56,470.37,2078,92,680,229481.7,2014.3
72215,3,72215_3,72215_3_IFNG.jpg,IFNG,Lymph,Lymph,Image,Polygon,478.11,111.01,253,10,134,11062.3,435.17
72215,3,72215_3,72215_3_IFNG.jpg,IFNG,Mac,Mac,Image,Rectangle,202.68,263.88,73,10,13,7536.7,352.32
72215,3,72215_3,72215_3_IFNG.jpg,IFNG,Immune cells,Immune cells,Image,Polygon,392.8,434.88,5164,258,1772,495472.7,2560.6
72215,3,72215_3,72215_3_TGFB.jpg,TGFB,Mac,Mac,Image,Rectangle,308.64,191.88,216,41,149,6198.3,324.96
72215,3,72215_3,72215_3_TGFB.jpg,TGFB,Lymph,Lymph,Image,Polygon,501.31,101.96,309,43,187,7053.1,364.39
72215,3,72215_3,72215_3_TGFB.jpg,TGFB,Immune cells,Immune cells,Image,Polygon,406.36,427.35,17563,2912,11447,514489.7,2604.8
72215,3,72215_3,72215_3_TGFB.jpg,TGFB,Necrosis,Necrosis,Image,Polygon,437.54,468.76,5010,544,3148,231860.4,1781.4
72215,3,72215_3,72215_3_UBC.jpg,UBC,Mac,Mac,Image,Rectangle,362.28,201.48,1019,445,552,7688.2,362.88
72215,3,72215_3,72215_3_UBC.jpg,UBC,Necrosis,Necrosis,Image,Polygon,452.48,460.85,6106,2645,2678,177105,1796.7
72215,3,72215_3,72215_3_UBC.jpg,UBC,Immune cells,Immune cells,Image,Polygon,441.13,411.61,28134,12870,13570,393227.4,2289.7
72215,3,72215_3,72215_3_UBC.jpg,UBC,Lymph,Lymph,Image,Polygon,395.24,118.16,723,308,348,7306.1,391.31
72215,4,72215_4,72215_4_DapB.jpg,DapB,Mac,Mac,Image,Ellipse,409.68,390.12,76,0,2,18434.1,491.64
72215,4,72215_4,72215_4_DapB.jpg,DapB,Immune cells,Immune cells,Image,Ellipse,419.04,387.48,1185,4,69,149297.2,1380.9
72215,4,72215_4,72215_4_DapB.jpg,DapB,Lymph,Lymph,Image,Polygon,563.77,328.78,75,0,2,5500.4,303.7
72215,4,72215_4,72215_4_IFNG.jpg,IFNG,Lymph,Lymph,Image,Polygon,558.84,315.74,87,0,6,7660.3,366.88
